#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
87,Worms Crazy Golf,10/19/2011,$2.49,N/A (N/A),"390,842 ±18,545",01:38 (00:29)
88,Tennis Elbow 2013,3/13/2015,$18.74,N/A (N/A),"2,765 ±1,561",21:10 (19:11)
89,ROCKETSROCKETSROCKETS,5/1/2015,$7.79,N/A (N/A),"16,823 ±3,850",01:12 (00:21)
90,Trials 2: Second Edition,5/28/2008,$9.99,N/A (N/A),"113,151 ±9,984",06:30 (01:45)
91,BasketBelle,12/9/2014,$2.49,N/A (N/A),"2,765 ±1,561",01:00 (01:05)
93,F-1 drive,5/21/2015,$0.99,N/A (N/A),"1,670 ±1,461",00:05 (00:04)
94,Riptide GP2,3/7/2014,$6.99,N/A (N/A),"12,905 ±3,372",02:49 (01:33)
95,Formula Truck 2013,2/2/2015,$13.39,N/A (N/A),"5,070 ±2,113",00:45 (00:23)
96,Altitude0: Lower & Faster,9/1/2014,$13.29,N/A (N/A),"2,004 ±1,600",00:13 (00:12)
97,Natural Soccer,2/2/2015,$11.24,N/A (N/A),668 ±924,04:07 (04:06)
98,TrackMania² Valley,7/4/2013,$11.99,N/A (N/A),"61,069 ±7,335",04:25 (01:21)
99,F1 Chequered Flag,5/22/2015,$3.74,N/A (N/A),"566 ±1,107",00:02 (00:02)
100,Shufflepuck Cantina Deluxe VR,12/6/2013,$4.99,N/A (N/A),"53,234 ±6,849",03:47 (02:13)
101,G-Ball,5/28/2014,$3.99,N/A (N/A),"16,823 ±3,850",00:28 (00:11)
103,Pro Cycling Manager 2013,6/20/2013,$6.79,N/A (N/A),"29,037 ±5,058",58:28 (13:38)
105,Football Mogul 2014,5/28/2015,$9.99,N/A (N/A),"566 ±1,107",15:04 (15:04)
106,Basketball Pro Management 2014,1/6/2014,$1.99,N/A (N/A),"7,144 ±2,509",01:47 (01:13)
107,Real Boxing™,7/2/2014,$4.99,N/A (N/A),"47,242 ±6,452",04:57 (03:42)
108,Cricket Revolution,10/28/2009,$2.99,N/A (N/A),"20,971 ±4,299",17:52 (01:41)
109,VRC PRO,3/24/2015,$44.99,N/A (N/A),"3,918 ±1,858",15:20 (08:41)
110,Eastside Hockey Manager: Early Access,3/26/2015,$11.24,N/A (N/A),"17,975 ±3,980",27:27 (18:56)
112,Sportsfriends,12/19/2014,$8.99,N/A (N/A),"2,535 ±1,494",00:51 (00:58)
113,Dovetail Games Fishing,11/4/2014,$19.99,N/A (N/A),"14,057 ±3,519",01:20 (00:54)
114,NASCAR The Game: 2013,,Free,N/A (N/A),"37,333 ±5,736",19:49 (03:32)
115,Probably Archery,2/6/2014,$3.49,N/A (N/A),"59,225 ±7,224",01:12 (00:44)
116,Metal Drift,10/22/2009,$4.99,N/A (N/A),"48,164 ±6,515",02:43 (00:35)
117,ClusterPuck 99,1/23/2015,$4.99,N/A (N/A),"5,761 ±2,253",00:35 (00:46)
118,Depth Hunter 2: Deep Dive,8/20/2014,$6.74,N/A (N/A),"45,168 ±6,309",04:06 (03:43)
119,Foosball - Street Edition,4/16/2014,$2.49,N/A (N/A),"10,140 ±2,989",03:43 (00:44)
120,MotorSport Revolution,1/15/2015,$11.99,N/A (N/A),"1,131 ±1,566",00:47 (01:11)
122,MUD - FIM Motocross World Championship™,2/26/2013,$3.39,N/A (N/A),"8,988 ±2,814",07:10 (03:05)
123,Victory: The Age of Racing,2/10/2014,$14.99,N/A (N/A),"26,502 ±4,832",07:14 (01:33)
124,Franchise Hockey Manager 2014,5/30/2014,$19.99,N/A (N/A),"12,214 ±3,281",27:08 (02:41)
125,MotoGP™14 Compact,11/21/2014,$9.99,N/A (N/A),"2,074 ±1,352",01:21 (01:58)
126,Dungeonbowl Knockout Edition,7/2/2012,$3.74,N/A (N/A),"35,720 ±5,610",04:49 (00:31)
127,3D Mini Golf,5/29/2015,$5.99,N/A (N/A),"1,670 ±1,461",03:02 (01:31)
129,Motorbike,1/19/2015,$4.99,N/A (N/A),"2,765 ±1,561",02:02 (01:44)
130,Gridiron Solitaire,1/21/2014,$9.99,N/A (N/A),"2,765 ±1,561",11:39 (19:03)
131,Pure Pool,7/31/2014,$6.49,N/A (N/A),"6,453 ±2,384",02:25 (01:02)
132,Cinemaware Anthology: 1986-1991,11/14/2014,$2.49,N/A (N/A),"3,687 ±1,802",02:35 (00:54)
134,Carp Fishing Simulator,4/28/2015,$3.24,N/A (N/A),"1,336 ±1,307",01:09 (00:45)
137,Rugby 15,11/20/2014,$9.99,N/A (N/A),"5,070 ±2,113",25:36 (29:07)
138,World of Mixed Martial Arts 3,3/19/2015,$4.99,N/A (N/A),668 ±924,00:54 (00:54)
140,Colin McRae Rally,7/30/2014,$2.09,N/A (N/A),"19,819 ±4,179",02:36 (01:12)
141,3D Ultra Minigolf Adventures Deluxe,7/23/2009,$4.89,N/A (N/A),"8,988 ±2,814",01:56 (01:26)
142,Deer Hunt Legends,1/16/2015,$4.99,N/A (N/A),"1,002 ±1,131",01:02 (01:01)
143,New Star Soccer 5,9/27/2012,$14.99,N/A (N/A),"26,963 ±4,874",12:27 (04:28)
144,Super Indie Karts,5/6/2015,$14.99,N/A (N/A),"566 ±1,107",00:00 (00:00)
145,Perfect Golf,1/22/2015,$19.99,N/A (N/A),"9,679 ±2,920",80:17 (06:16)
147,Volo Airsport,12/4/2014,$10.39,N/A (N/A),"2,765 ±1,561",00:51 (00:35)
148,Don Bradman Cricket 14,6/25/2014,$49.99,N/A (N/A),"7,605 ±2,589",60:39 (33:21)
149,Teddy Floppy Ear - The Race,5/22/2015,$2.49,N/A (N/A),"1,002 ±1,131",00:07 (00:07)
150,Pro Rugby Manager 2015,9/18/2014,$1.99,N/A (N/A),"8,066 ±2,666",26:04 (15:42)
151,Cricket Captain 2014,8/8/2014,$9.74,N/A (N/A),"9,679 ±2,920",53:03 (23:44)
152,SEGA Bass Fishing,3/4/2011,$3.99,N/A (N/A),"244,737 ±14,680",00:54 (00:12)
153,Karate Master 2 Knock Down Blow,3/20/2015,$4.99,N/A (N/A),"9,448 ±2,885",03:51 (04:26)
154,MotoGP™13,6/20/2013,$19.99,N/A (N/A),"20,049 ±4,203",15:57 (04:49)
155,Monster Trucks Nitro,1/29/2009,$19.99,N/A (N/A),"20,971 ±4,299",04:23 (01:53)
156,Tail Drift,10/29/2014,$9.99,N/A (N/A),"5,761 ±2,253",00:19 (00:10)
157,Trackday Manager,5/27/2015,$19.99,N/A (N/A),"1,002 ±1,131",13:38 (15:16)
158,Beast Boxing Turbo,11/19/2013,$4.99,N/A (N/A),"27,423 ±4,916",02:20 (01:31)
159,Stock Car Extreme,2/11/2015,$22.49,N/A (N/A),"11,292 ±3,154",10:44 (07:17)
160,Total Pro Golf 3,7/25/2014,$4.99,N/A (N/A),"11,062 ±3,122",01:44 (03:40)
161,TableTop Cricket,2/25/2015,$9.99,N/A (N/A),668 ±924,00:36 (00:36)
162,Soccer Rage,6/2/2015,$9.74,N/A (N/A),668 ±924,00:14 (00:07)
164,Galactic Bowling,10/21/2008,$19.99,N/A (N/A),"3,226 ±1,686",02:35 (02:19)
165,Soccertron,3/12/2015,$5.99,N/A (N/A),"566 ±1,107",00:23 (00:23)
