#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
108,Red Stone Online,4/1/2015,Free,N/A (N/A),"48,855 ±6,561",01:02 (00:14)
109,Xam,7/15/2014,Free,N/A (N/A),"204,409 ±13,417",00:29 (00:14)
110,Warside,5/5/2015,Free,N/A (N/A),"85,958 ±8,702",02:01 (00:31)
111,Age of Conan: Unchained - US version,2/22/2013,Free,N/A (N/A),"101,628 ±9,462",18:01 (02:37)
113,FACTIONS: Origins of Malu,3/23/2015,$19.99,N/A (N/A),"566 ±1,107",00:09 (00:09)
114,Storm United,4/17/2015,$9.99,N/A (N/A),"20,510 ±4,251",00:26 (00:19)
115,FINAL FANTASY� XI: Ultimate Collection Seekers Edition NA,4/19/2013,$39.99,N/A (N/A),"11,062 ±3,122",13:10 (00:37)
116,Colonies Online,5/1/2014,$8.99,N/A (N/A),"9,909 ±2,955",06:47 (02:29)
119,TDP4:Team Battle,3/12/2015,Free,N/A (N/A),"104,854 ±9,611",01:37 (00:13)
120,Jagged Alliance Online - Steam Edition,6/5/2013,Free,N/A (N/A),"79,966 ±8,394",09:25 (01:23)
122,Oort Online,11/13/2014,$34.99,N/A (N/A),"8,296 ±2,704",08:42 (01:36)
123,Out of Reach,6/8/2015,$16.99,N/A (N/A),922 ±901,06:18 (08:12)
125,Musclecar Online,2/12/2015,$4.49,N/A (N/A),"5,992 ±2,298",01:06 (00:42)
129,Shroud of the Avatar: Forsaken Virtues,11/24/2014,$33.74,N/A (N/A),"20,510 ±4,251",10:37 (01:52)
131,Alganon,5/19/2015,Free,N/A (N/A),"27,193 ±4,895",00:48 (00:15)
132,Wander,6/4/2015,$24.99,N/A (N/A),"566 ±1,107",07:18 (07:18)
134,Immune,3/25/2015,$11.89,N/A (N/A),"1,152 ±1,007",02:36 (03:24)
135,Windborne,2/17/2014,$29.99,N/A (N/A),"9,679 ±2,920",21:51 (07:20)
137,The Slaughtering Grounds,10/31/2014,$0.19,N/A (N/A),"33,415 ±5,426",01:51 (01:17)
140,Perpetuum,10/17/2014,$14.49,N/A (N/A),"13,366 ±3,432",27:13 (05:23)
144,WarBirds - World War II Combat Aviation,5/5/2015,$14.99,N/A (N/A),"566 ±1,107",01:20 (01:20)
145,Line of Defense MMO,9/16/2014,Free,N/A (N/A),"1,844 ±1,274",01:00 (01:23)
146,BattleSpace,1/7/2015,Free,N/A (N/A),"59,917 ±7,266",03:40 (00:01)
148,Minimon,3/25/2015,$4.99,N/A (N/A),"8,296 ±2,704",06:16 (04:23)
149,Darkwind: War on Wheels,8/22/2014,Free,N/A (N/A),"150,023 ±11,495",00:50 (00:06)
152,Uncrowded,5/11/2015,$0.99,N/A (N/A),"1,383 ±1,103",00:17 (00:26)
157,Sirius Online,6/1/2015,$7.49,N/A (N/A),"3,687 ±1,802",00:30 (00:10)
159,KWAAN,3/11/2015,$3.49,N/A (N/A),922 ±901,01:11 (01:11)
