#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
360,HOARD,4/4/2011,$2.99,80% (65%),"363,188 ±17,878",02:04 (00:44)
102,Company of Heroes 2,6/25/2013,$19.99,79% (80%),"1,384,540 ±34,833",59:58 (12:42)
227,Worms Clan Wars,8/15/2013,$6.24,79% (73%),"203,717 ±13,394",07:23 (02:50)
562,Battle Islands,8/6/2014,Free,79% (N/A),"377,937 ±18,237",09:33 (00:24)
717,Dwarfs!?,5/4/2011,$4.99,79% (N/A),"335,304 ±17,179",03:12 (01:03)
1066,Divinity: Dragon Commander,8/6/2013,$9.99,79% (N/A),"172,837 ±12,338",08:13 (04:33)
277,Democracy 3,10/14/2013,$6.24,78% (70%),"390,381 ±18,534",06:33 (03:14)
322,Men of War: Assault Squad 2,5/15/2014,$7.49,78% (68%),"212,474 ±13,679",36:23 (14:04)
330,The Banner Saga: Factions,2/25/2013,Free,78% (67%),"268,474 ±15,374",04:40 (00:46)
440,Cortex Command,9/28/2012,$4.99,78% (44%),"146,335 ±11,353",07:59 (01:17)
675,SimCity 4 Deluxe,7/20/2010,$9.99,78% (N/A),"967,196 ±29,139",16:18 (02:54)
107,Fallen Enchantress: Legendary Heroes,5/22/2013,$9.99,77% (80%),"156,936 ±11,757",39:52 (12:33)
438,Agarest: Generations of War,2/4/2014,$3.74,77% (45%),"181,133 ±12,630",12:36 (02:52)
828,StarMade,12/4/2014,$4.99,77% (N/A),"95,406 ±9,168",09:42 (01:42)
1054,SolForge,,Free,77% (N/A),"207,404 ±13,515",58:57 (02:44)
1090,Strife�,5/22/2015,Free,77% (N/A),"659,546 ±24,078",05:17 (01:21)
5,Galactic Civilizations� II: Ultimate Edition,12/2/2011,$9.99,76% (92%),"564,371 ±22,277",14:28 (02:25)
176,Total War: ROME II - Emperor Edition,9/2/2013,$29.97,76% (76%),"1,956,976 ±41,363",114:29 (40:01)
215,Block N Load Beta,4/30/2015,$5.09,76% (74%),"39,176 ±5,875",25:13 (05:19)
239,Blood Bowl: Legendary Edition,10/28/2010,$9.99,76% (73%),"476,108 ±20,465",17:49 (01:51)
282,Dead State,12/4/2014,$14.99,76% (70%),"47,473 ±6,468",23:39 (04:31)
475,Influent,3/20/2014,$4.99,76% (N/A),"99,554 ±9,365",01:34 (00:25)
795,The Culling Of The Cows,5/9/2014,$1.94,76% (N/A),"356,275 ±17,708",01:29 (01:17)
891,Galaxy on Fire 2™ Full HD,8/21/2012,$9.99,76% (N/A),"258,334 ±15,081",06:55 (01:21)
1083,Infinite Crisis™,3/26/2015,Free,75% (N/A),"789,520 ±26,337",05:13 (00:57)
163,Grey Goo,1/23/2015,$29.99,74% (77%),"89,875 ±8,898",10:04 (05:53)
192,Tropico 5,5/23/2014,$14.61,74% (75%),"375,402 ±18,176",20:04 (11:19)
370,War for the Overworld,4/2/2015,$23.99,74% (64%),"104,394 ±9,590",08:00 (03:35)
398,Tower Wars,8/14/2012,$1.59,74% (59%),"377,937 ±18,237",06:17 (01:59)
472,Fractured Space,11/20/2014,$4.99,74% (N/A),"786,985 ±26,294",02:01 (00:20)
484,FreeStyle2: Street Basketball,4/1/2015,Free,74% (N/A),"1,680,437 ±38,352",09:54 (01:38)
42,Galactic Civilizations III,5/14/2015,$44.99,73% (84%),"116,607 ±10,135",25:33 (09:01)
211,Battlestations: Pacific,5/13/2009,$2.24,73% (74%),"192,656 ±13,026",11:54 (03:34)
399,Space Hulk,8/15/2013,$4.99,73% (58%),"200,030 ±13,272",04:56 (01:52)
917,ACE - Arena: Cyber Evolution,8/18/2014,Free,73% (N/A),"330,004 ±17,043",00:37 (00:16)
969,Shadowrun Chronicles,4/28/2015,$14.99,73% (N/A),"27,884 ±4,957",12:20 (04:20)
177,Super Monday Night Combat,4/19/2012,Free,72% (76%),"838,605 ±27,140",11:38 (00:45)
428,Talisman: Digital Edition,2/25/2014,$4.49,72% (51%),"277,461 ±15,629",12:52 (03:12)
735,Command and Conquer: Red Alert 3 - Uprising,10/6/2009,$9.99,71% (N/A),"1,015,129 ±29,849",08:24 (01:09)
100,Total War: ATTILA,2/17/2015,$33.74,70% (80%),"323,090 ±16,864",58:19 (27:01)
194,Hero Academy,8/10/2012,$2.49,70% (75%),"217,775 ±13,848",25:58 (01:28)
