#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
107,KeeperRL,3/31/2015,$11.24,N/A (N/A),"5,761 ±2,253",05:23 (01:22)
108,Bedlam,8/8/2014,$14.99,N/A (N/A),"7,605 ±2,589",43:13 (02:39)
109,Soul Locus,4/30/2015,$9.89,N/A (N/A),668 ±924,10:53 (10:52)
110,Predestination,2/4/2015,$29.99,N/A (N/A),"3,005 ±1,960",01:06 (01:01)
111,Black Ice,7/9/2014,$8.49,N/A (N/A),"5,761 ±2,253",04:50 (04:25)
112,Frozen State,7/1/2014,$8.99,N/A (N/A),"7,374 ±2,549",03:23 (01:05)
114,Dead Sea,3/25/2015,$3.74,N/A (N/A),"1,613 ±1,192",01:05 (01:41)
115,Zen Fish SIM,9/18/2014,Free,N/A (N/A),"1,002 ±1,131",00:14 (00:07)
117,BIOS,6/4/2015,$17.99,N/A (N/A),922 ±901,00:17 (00:19)
118,Take On Mars,8/1/2013,$15.29,N/A (N/A),"40,790 ±5,995",06:31 (02:57)
119,Martial Law,5/26/2015,$5.99,N/A (N/A),"566 ±1,107",00:00 (00:00)
120,Steel Storm: A.M.M.O.,9/25/2013,$9.99,N/A (N/A),"2,829 ±2,477",00:01 (00:01)
121,RONIN,6/1/2015,$12.99,N/A (N/A),"2,263 ±2,215",00:29 (00:34)
122,Down To One,1/29/2015,$14.99,N/A (N/A),"8,296 ±2,704",02:50 (03:56)
124,Spark Rising,5/8/2014,$4.99,N/A (N/A),"30,880 ±5,216",00:43 (00:12)
127,CO-OP : Decrypted,4/6/2015,$9.99,N/A (N/A),"5,009 ±2,531",00:00 (00:00)
128,Imagine Earth,5/20/2014,$17.99,N/A (N/A),"1,336 ±1,307",01:14 (01:42)
129,The Age of Decadence,11/14/2013,$22.49,N/A (N/A),"11,983 ±3,249",18:20 (04:52)
130,Doom & Destiny Advanced,6/3/2015,$9.99,N/A (N/A),"566 ±1,107",00:00 (00:00)
131,Eastside Hockey Manager: Early Access,3/26/2015,$11.24,N/A (N/A),"17,975 ±3,980",27:27 (18:56)
132,1953: NATO vs Warsaw Pact,12/4/2014,$9.99,N/A (N/A),"6,222 ±2,341",05:19 (03:24)
133,Undead Overlord,7/18/2014,$14.99,N/A (N/A),"2,996 ±1,625",01:28 (00:53)
134,Commander Cool 2,4/23/2015,$6.39,N/A (N/A),"3,457 ±1,745",01:16 (01:37)
135,Asteroids: Outpost,3/26/2015,$29.99,N/A (N/A),"2,535 ±1,494",01:06 (01:33)
136,Captain Forever Remix,3/27/2015,$11.99,N/A (N/A),"8,757 ±2,778",05:08 (02:32)
137,Toy Soldiers: Complete,2/28/2014,$4.99,N/A (N/A),"26,502 ±4,832",05:17 (04:30)
139,Isomer,7/11/2014,$9.99,N/A (N/A),"9,448 ±2,885",01:01 (01:20)
141,On My Own,2/23/2015,$4.99,N/A (N/A),"1,613 ±1,192",00:34 (00:33)
142,Cavern Kings,9/30/2014,$8.99,N/A (N/A),"7,374 ±2,549",06:35 (03:51)
143,TerraTech,2/6/2015,$14.99,N/A (N/A),"12,675 ±3,342",09:10 (02:38)
144,New kind of adventure,6/4/2015,$1.49,N/A (N/A),"4,379 ±1,964",00:27 (00:32)
146,The District,3/31/2015,$1.49,N/A (N/A),"7,605 ±2,589",01:10 (00:53)
147,Fallen: A2P Protocol,4/6/2015,$10.04,N/A (N/A),"4,379 ±1,964",00:43 (00:53)
148,Epic Space: Online,5/8/2014,$24.99,N/A (N/A),"1,383 ±1,103",01:36 (01:50)
149,Dungeon Dashers,10/25/2013,$9.99,N/A (N/A),"9,679 ±2,920",02:20 (01:17)
151,After Reset RPG,3/9/2015,$49.99,N/A (N/A),"2,074 ±1,352",00:24 (00:37)
153,Krautscape,3/31/2014,$3.99,N/A (N/A),"8,527 ±2,741",00:52 (00:43)
154,Space Rogue,5/14/2015,$13.39,N/A (N/A),"1,152 ±1,007",02:03 (02:05)
155,The Joylancer: Legendary Motor Knight,11/7/2014,$3.39,N/A (N/A),"25,349 ±4,726",00:22 (00:19)
156,MX vs. ATV Supercross Encore,3/5/2015,$22.49,N/A (N/A),"3,226 ±1,686",05:44 (03:22)
159,Autocraft,10/15/2014,$3.39,N/A (N/A),"13,827 ±3,491",04:08 (01:53)
160,Space Drifters 2D,6/8/2015,$0.79,N/A (N/A),"1,383 ±1,103",00:00 (00:00)
162,March of War: Face Off,4/9/2015,Free,N/A (N/A),"52,312 ±6,789",03:17 (00:30)
163,Runes of Brennos,12/22/2014,$4.99,N/A (N/A),"15,671 ±3,716",01:01 (01:15)
164,CubeGun,5/21/2014,$6.99,N/A (N/A),"5,300 ±2,161",00:09 (00:13)
165,Bot Colony,6/16/2014,Free,N/A (N/A),"1,670 ±1,461",02:12 (04:05)
166,Phantasmal,4/29/2015,$11.24,N/A (N/A),"2,765 ±1,561",00:22 (00:25)
167,WolfWars,1/2/2015,$4.99,N/A (N/A),"1,152 ±1,007",01:52 (01:28)
171,Games of Glory,5/26/2015,Free,N/A (N/A),"53,695 ±6,878",00:43 (00:16)
172,Dungeon Warfare,3/17/2015,$5.99,N/A (N/A),"4,379 ±1,964",79:27 (131:45)
173,20XX,11/25/2014,$9.99,N/A (N/A),"2,263 ±2,215",01:52 (02:42)
175,Nevermind,3/31/2015,$24.99,N/A (N/A),"1,336 ±1,307",03:37 (03:36)
176,ShellShock Live,3/11/2015,$5.24,N/A (N/A),"3,226 ±1,686",22:34 (05:37)
177,FRONTIERS,12/15/2014,$14.99,N/A (N/A),"5,761 ±2,253",02:55 (01:24)
