#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
494,Ampu-Tea,5/30/2014,$0.74,61% (N/A),"51,160 ±6,714",01:22 (00:55)
89,Cities in Motion 2,4/2/2013,$4.99,59% (72%),"595,942 ±22,890",10:46 (01:11)
317,State of Decay: Year-One,4/27/2015,$8.99,58% (N/A),"23,506 ±4,551",26:59 (05:20)
455,Copa Petrobras de Marcas,4/8/2015,Free,57% (N/A),"378,859 ±18,259",00:29 (00:10)
635,Depression Quest,8/11/2014,Free,57% (N/A),"176,524 ±12,469",00:48 (00:17)
508,Red Crucible: Firestorm,5/29/2015,Free,55% (N/A),"259,947 ±15,128",01:13 (00:16)
560,RaceRoom Racing Experience,2/12/2013,Free,54% (N/A),"1,638,034 ±37,868",03:43 (00:26)
598,The Dead Linger,9/27/2013,$14.99,50% (N/A),"55,077 ±6,966",03:35 (01:40)
167,Nether,6/5/2014,$3.99,49% (57%),"628,666 ±23,509",10:06 (02:59)
178,Ship Simulator Extremes,8/27/2010,$4.99,49% (49%),"164,310 ±12,030",15:08 (03:38)
186,Infestation: Survivor Stories,12/17/2012,$1.94,48% (20%),"993,928 ±29,537",49:08 (06:40)
648,Navy Field 2 : Conqueror of the Ocean,3/5/2015,Free,48% (N/A),"378,167 ±18,243",03:45 (00:19)
532,Kinetic Void,11/21/2014,$4.99,44% (N/A),"120,064 ±10,284",04:50 (01:08)
287,Face of Mankind,7/17/2014,$7.49,39% (N/A),"328,160 ±16,995",02:18 (00:27)
350,theHunter,6/3/2014,Free,39% (N/A),"2,481,940 ±46,531",04:49 (00:38)
184,Takedown: Red Sabre,2/10/2014,$4.99,37% (34%),"234,828 ±14,380",02:40 (00:54)
764,Godus,9/13/2013,$7.99,36% (N/A),"272,622 ±15,492",19:06 (06:51)
185,X Rebirth,11/15/2013,$13.59,31% (33%),"163,850 ±12,013",34:03 (04:57)
354,Stronghold 3,5/25/2012,$7.49,31% (N/A),"660,007 ±24,086",10:21 (03:50)
643,Towns,11/7/2012,$4.94,31% (N/A),"190,812 ±12,963",22:10 (03:04)
293,StarForge,9/22/2014,$4.99,25% (N/A),"309,263 ±16,500",03:57 (01:17)
177,Spacebase DF-9,10/27/2014,$4.99,24% (49%),"133,200 ±10,832",07:33 (03:34)
377,Cities XXL,2/5/2015,$26.79,24% (N/A),"36,641 ±5,682",13:07 (04:24)
207,Airport Simulator 2014,12/19/2013,$2.49,12% (N/A),"51,390 ±6,729",03:21 (00:22)
1,Out of the Park Baseball 16,3/23/2015,$29.99,N/A (93%),"6,222 ±2,341",60:25 (65:59)
3,Silent Hunter III,6/13/2008,$5.99,N/A (90%),"92,641 ±9,034",18:21 (03:43)
5,Out of the Park Baseball 15,4/24/2014,$19.99,N/A (89%),"11,292 ±3,154",68:35 (26:37)
7,Thief 2,5/22/2012,$3.49,N/A (87%),"370,332 ±18,053",04:09 (00:13)
10,DiRT 3,5/23/2011,$24.99,N/A (86%),"969,731 ±29,177",08:04 (02:41)
15,Startopia,10/10/2013,$1.74,N/A (86%),"160,623 ±11,894",04:08 (00:42)
19,GT Legends,11/28/2012,$7.99,N/A (84%),"80,888 ±8,442",01:13 (00:01)
21,F1 2010,9/21/2010,$9.99,N/A (84%),"69,826 ±7,844",44:15 (13:55)
26,F1 2011,9/19/2011,$7.49,N/A (83%),"55,999 ±7,024",37:44 (11:11)
29,B-17 Flying Fortress: The Mighty 8th,10/30/2014,$3.49,N/A (82%),"8,757 ±2,778",00:09 (00:01)
