,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
4051,Dracula 2: The Last Sanctuary,427,49,999999,34337,212
4052,Bone: Out from Boneville,2557,249,999999,21662,202
4053,Sherlock Holmes: The Secret of the Silver Earring,2142,499,999999,68904,617
4054,Nancy Drew: The Creature of Kapu Cave,2162,349,999999,7374,516
4055,Secret Files 3,1008,999,999999,9218,504
4056,Still Life 2,1478,199,999999,78583,552
4057,Dracula: The Resurrection,427,74,999999,36872,338
4058,Alone in the Dark: The New Nightmare,597,349,999999,11292,42
4059,The Witcher Adventure Game,203,599,999999,41942,444
4060,Lego Indiana Jones 2,1946,679,999999,14057,1503
4061,Memento Mori,951,649,999999,21201,444
4062,Ghost Pirates of Vooju Island,142,249,999999,6683,1
4063,Dark Fall 2: Lights Out,562,249,999999,52082,126
4064,Dead Rising 2: Off the Record,1346,679,999999,143340,825
4065,Lost Planet: Extreme Condition,2914,599,999999,426331,555
4066,realMyst,1779,203,999999,76279,244
4067,The Cameron Files: The Secret at Loch Ness,335,99,999999,23045,9
4068,Secret Files: Puritas Cordis,2058,499,999999,14288,744
4069,Silent Hill: Homecoming,2415,999,999999,74205,546
4070,Lost Planet 2,1707,1999,999999,100245,856
4071,Aura: Fate of the Ages,1718,249,999999,67061,121
4072,Puzzle Agent 2,1449,249,999999,267321,309
4073,Mata Hari,2150,249,999999,25810,342
4074,Alice in Wonderland,255,1339,999999,2304,1848
4075,AlternativA,1686,259,999999,18436,246
4076,Rocket Knight,1864,449,999999,7835,125
4077,Obscure,465,699,999999,21893,419
4078,Curse: The Eye of Isis,300,124,999999,20971,18
4079,Chronicles of Mystery: The Scorpio Ritual,2191,499,999999,19819,644
4080,Hunted: The Demon's Forge,1480,999,999999,92410,739
4081,Fireburst,1149,149,999999,34798,38
4082,Obscure 2,465,999,999999,15901,416
4083,Alter Ego,1780,999,999999,14288,657
4084,Schrödinger's Cat and the Raiders of the Lost Quark,268,599,999999,2074,653
4085,Rayman: Raving Rabbids,2561,599,999999,10831,218
4086,TRON: Evolution,255,1339,999999,3918,300
4087,Dark Void,1976,299,999999,36872,307
4088,The First Templar,1498,499,999999,92641,418
4089,Alone in the Dark,597,349,999999,40790,213
4090,SONIC THE HEDGEHOG 4 Episode II,1129,749,999999,119834,259
4091,Harvester,440,149,999999,44246,150
4092,Escape Dead Island,212,999,999999,11753,522
4093,Blade Kitten,392,149,999999,38946,323
4094,YAIBA: NINJA GAIDEN Z,454,1019,999999,5531,500
4095,Star Trek,786,509,999999,78583,758
4096,Ghostbusters: Sanctum of Slime,1548,399,999999,16131,100
4097,Freddi Fish 5: The Case of the Creature of Coral Cove,377,349,999999,11983,56
4098,Enigmatis 2: The Mists of Ravenwood,378,499,999999,30419,504
4099,Mysteries & Nightmares: Morgiana,66,799,999999,1002,718
4100,Putt-Putt and Pep's Balloon-o-Rama,427,249,999999,12905,101
4101,Escape The Museum,415,99,999999,3687,316
4102,Sherlock Holmes and The Hound of The Baskervilles,1151,499,999999,34337,602
4103,Disney Fairies: Tinker Bell's Adventure,255,1339,999999,2996,40
4104,Paper Monsters Recut,238,799,999999,11753,44
4105,SPY Fox in: Hold the Mustard,377,249,999999,14749,23
4106,Grim Legends 2: Song of the Dark Swan,84,499,999999,17745,338
4107,Realms of Chaos,409,2999,999999,4609,0
4108,Jacob Jones and the Bigfoot Mystery : Episode 1,276,499,999999,2672,401
4109,Tiny Thief,549,599,999999,16592,506
4110,Secret Files: Tunguska,2058,499,999999,31341,722
4111,Sam & Max 104: Abe Lincoln Must Die!,2925,0,999999,109003,209
4112,The Beast of Lycan Isle - Collector's Edition,377,475,999999,922,129
4113,Biozone,1868,249,999999,1152,9
4114,Vault Cracker,399,99,999999,7374,203
4115,Airport Madness: World Edition,21,749,999999,3687,132
4116,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,721,999,999999,56460,437
4117,Chicken Little,114,669,999999,668,346
4118,Disney Universe,255,1339,999999,3457,149
4119,Midnight Mysteries: The Edgar Allan Poe Conspiracy,2089,339,999999,25810,316
4120,Putt-Putt Saves the Zoo,350,349,999999,17514,126
4121,Nightmares from the Deep 3: Davy Jones,140,399,999999,9448,601
4122,Bird Assassin,295,99,999999,8757,118
4123,Dark Lore Mysteries: The Hunt For Truth,436,99,999999,3918,239
4124,Magrunner: Dark Pulse,728,499,999999,28345,358
4125,Disney's Princess Enchanted Journey,251,1339,999999,2535,0
4126,Tex Murphy: Martian Memorandum,371,149,999999,21201,13
4127,Princess Isabella,429,99,999999,3226,237
4128,Bolt,114,1339,999999,1002,1017
4129,Word Rescue,409,2999,999999,4609,11
4130,Sherlock Holmes Consulting Detective: The Case of the Mystified Murderess,10,269,999999,1002,0
4131,Inherit the Earth: Quest for the Orb,204,149,999999,6683,7
4132,Gold Rush! Classic,328,299,999999,36641,225
4133,Deathtrap Dungeon,623,174,999999,5070,51
4134,Tomb Raider II,932,139,999999,384620,325
4135,Escape From Darkmoor Manor,195,399,999999,2004,57
4136,Small Town Terrors Pilgrim's Hook Collector's Edition,337,374,999999,11522,413
4137,BloodNet,244,349,999999,10140,27
4138,The Princess and The Frog,255,1339,999999,2304,14
4139,Infected: The Twin Vaccine - Collector's Edition,679,475,999999,34798,237
4140,Putt-Putt Enters the Race,385,349,999999,12444,50
4141,9 Clues: The Secret of Serpent Creek,343,999,999999,25810,251
4142,Portal 2 Sixense Perceptual Pack,636,0,999999,322399,4
4143,Sherlock Holmes: The Mystery of The Persian Carpet,999999,499,999999,67061,417
4144,Dreamscapes: The Sandman - Premium Edition,428,174,999999,2304,235
4145,Rune Classic,1100,399,999999,55999,256
4146,Haunted House: Cryptic Graves,205,0,999999,668,4
4147,Tex Murphy: The Pandora Directive,371,249,999999,13366,1
4148,Princess Isabella - Rise of an Heir,429,99,999999,1336,0
4149,Chronicle Keepers: The Dreaming Garden,7,349,999999,566,0
4150,Batman™: Arkham Origins Blackgate - Deluxe Edition,443,999,999999,48625,253
4151,Season Match,276,119,999999,4839,402
4152,Jacob Jones and the Bigfoot Mystery : Episode 2,268,399,999999,2004,139
4153,Hidden Object Bundle 5 in 1,112,499,999999,8296,745
4154,Amerzone: The Explorer's Legacy,300,124,999999,26963,109
4155,DragonSphere,244,349,999999,8296,51
4156,Pajama Sam 4: Life Is Rough When You Lose Your Stuff!,385,349,999999,13827,59
4157,The Moon Sliver,233,149,999999,34107,39
4158,Disney Tangled,255,1339,999999,2535,240
4159,Dragon's Lair,762,499,999999,43785,58
4160,The Dig,2171,401,999999,102780,522
4161,Pajama Sam 2: Thunder and Lightning Aren't So Frightening,413,349,999999,17745,122
4162,Alone in the Dark: Illumination,6,2999,999999,2672,221
4163,Midnight Mysteries: Witches of Abraham - Collector's Edition,206,475,999999,668,1133
4164,Necronomicon: The Dawning of Darkness,342,49,999999,24197,59
4165,Dead Mountaineer's Hotel,1329,299,999999,7374,129
4166,LEGO® Jurassic World,7,3999,999999,22374,257
4167,NekoChan Hero - Collection,140,250,999999,11522,121
4168,Putt-Putt Joins the Parade,427,349,999999,14518,38
4169,Season Match 3 - Curse of the Witch Crow,231,169,999999,2074,2224
4170,Cargo! - The quest for gravity,1519,249,999999,59456,412
4171,Higurashi When They Cry - Ch.1 Onikakushi,34,539,999999,14979,427
4172,"I Have No Mouth, and I Must Scream",609,149,999999,111768,312
4173,LUXOR: 5th Passage,1605,339,999999,22584,2854
4174,Disney-Pixar Brave,255,1339,999999,2765,246
4175,Sam & Max 302: The Tomb of Sammun-Mak,1890,499,999999,345905,341
4176,Black Mirror,366,499,999999,83884,927
4177,Jack Keane 2 - The Fire Within,720,1499,999999,36641,559
4178,Adventure Chronicles: The Search For Lost Treasure,415,99,999999,8296,49
4179,Mystery Masters: Psycho Train Deluxe Edition,135,249,999999,6683,139
4180,Collapse,433,399,999999,26963,241
4181,Pirates of the Caribbean - At Worlds End,255,1339,999999,2535,119
4182,Spud!,107,399,999999,2996,0
4183,Mirror Mysteries,434,124,999999,14979,405
4184,Arctic Adventure,409,2999,999999,4609,0
4185,Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure,337,999,999999,2765,112
4186,Cars Radiator Springs Adventures,114,1339,999999,566,0
4187,SPY Fox in: Dry Cereal,427,349,999999,27884,153
4188,WALL E,114,1339,999999,566,0
4189,Tokyo School Life,126,989,999999,6222,759
4190,Assassin's Creed Freedom Cry,478,899,999999,75126,527
4191,Nancy Drew: Secrets can Kill,1424,349,999999,9909,656
4192,Nancy Drew: Ghost of Thornton Hall,765,999,999999,7835,1138
4193,Midnight Mysteries: Salem Witch Trials,1177,339,999999,21662,428
4194,Experience 112,237,249,999999,11753,123
4195,The Maker's Eden,323,314,999999,22354,125
4196,Odysseus: Long Way Home,115,299,999999,7144,236
4197,Lara Croft and the Temple of Osiris,192,999,999999,57612,254
4198,New York Mysteries: Secrets of the Mafia,27,699,999999,1002,545
4199,Empress of the Deep 3: Legacy of the Phoenix,315,339,999999,668,1
4200,Sam & Max 305: The City that Dares not Sleep,1890,499,999999,345905,306
4201,Namariel Legends: Iron Lord Premium Edition,344,174,999999,8066,136
4202,Dragon's Lair 2: Time Warp,602,499,999999,4839,47
4203,Iron Roses,1948,699,999999,2263,0
4204,Putt-Putt: Pep's Birthday Surprise,377,349,999999,10601,53
4205,1953 - KGB Unleashed,636,203,999999,70057,117
4206,Myths Of Orion,197,499,999999,1131,358
4207,Midnight Mysteries 4: Haunted Houdini,1177,339,999999,23736,544
4208,The Egyptian Prophecy: The Fate of Ramses,377,124,999999,34567,131
4209,Mystic Towers,409,2999,999999,4609,0
4210,Rex Nebular and the Cosmic Gender Bender,244,349,999999,7835,37
4211,Nancy Drew: Shadow at the Water's Edge,1372,349,999999,12444,1138
4212,Hypnosis,141,499,999999,566,0
4213,The Chronicles of Narnia - Prince Caspian,255,199,999999,2074,5
4214,Nancy Drew: Trail of the Twister,1424,349,999999,9448,444
4215,Haunted House,1724,179,999999,8757,31
4216,Pixel Hunter,336,59,999999,26271,240
4217,Khaba,157,399,999999,1002,149
4218,Return to Mysterious Island,469,199,999999,26502,243
4219,eden*,139,799,999999,17053,340
4220,"Nancy Drew: Lights, Camera, Curses!",2162,349,999999,5761,306
4221,Disney Winnie the Pooh,255,401,999999,6222,330
4222,Max: The Curse of Brotherhood,393,509,999999,21432,526
4223,Runaway: The Dream of the Turtle,3018,339,999999,67983,629
4224,Legacy of Kain: Soul Reaver,924,174,999999,187816,245
4225,White Haven Mysteries,427,99,999999,2074,622
4226,Pilot Brothers 2,169,199,999999,922,16
4227,Manhole,999999,599,999999,47933,14
4228,Voyage: Journey to the Moon,293,124,999999,26732,120
4229,SPY Fox 2: Some Assembly Required,413,349,999999,16823,225
4230,Monuments of Mars,409,2999,999999,4609,0
4231,Captain Morgane and the Golden Turtle,531,94,999999,34337,400
4232,Broken Sword 2 - the Smoking Mirror: Remastered,2024,203,999999,235058,344
4233,Freddi Fish 2: The Case of the Haunted Schoolhouse,413,349,999999,13827,114
4234,Abyss: The Wraiths of Eden,441,249,999999,41250,341
4235,Cho Dengeki Stryker,272,1749,999999,3457,1203
4236,Shadows: Price For Our Sins,602,249,999999,31572,447
4237,Drawn: The Painted Tower,1611,999,999999,3918,608
4238,Theatre Of The Absurd,406,99,999999,21432,415
4239,Ghost Encounters: Deadwood - Collector's Edition,97,499,999999,3687,7
4240,Blue Toad Murder Files - The Mysteries of Little Riddle,1658,449,999999,25580,104
4241,Sam & Max 303: They Stole Max's Brain!,1890,499,999999,345905,349
4242,The 11th Hour,608,149,999999,51160,53
4243,Whispered Legends: Tales of Middleport,372,339,999999,1383,309
4244,Doctor Who: The Adventure Games,458,699,999999,30880,341
4245,Pajama Sam in No Need to Hide When It's Dark Outside,427,349,999999,31572,220
4246,Dark Void Zero,1893,99,999999,33185,51
4247,Haunted Past: Realm of Ghosts,434,99,999999,3673,1037
4248,Fatty Bear's Birthday Surprise,238,349,999999,12675,200
4249,Myst: Masterpiece Edition,1597,203,999999,75357,220
4250,Twin Sector,2021,149,999999,77661,201
4251,SPY Fox in: Cheese Chase,385,249,999999,17514,101
4252,Sister��s Secrecy: Arcanum Bloodlines - Premium Edition,21,559,999999,1131,49
4253,Dracula 4 and  5 - Special Steam Edition,385,499,999999,20740,403
4254,Hocus Pocus,409,2999,999999,4609,246
4255,Space Legends: At the Edge of the Universe,206,249,999999,7374,339
4256,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,385,349,999999,11292,44
4257,Enigmatis: The Ghosts of Maple Creek,245,249,999999,14057,451
4258,Finn and Jake's Epic Quest,433,999,999999,20971,239
4259,The Quivering,141,399,999999,6453,0
4260,Disney Planes,255,1339,999999,2765,257
4261,Tomb Raider: Chronicles,932,139,999999,373789,153
4262,Mind Snares: Alice's Journey,56,499,999999,2074,544
4263,NyxQuest,1725,299,999999,30189,151
4264,Empress Of The Deep 2: Song Of The Blue Whale,406,99,999999,10370,314
4265,Broken Sword 4 - the Angel of Death,226,339,999999,10370,454
4266,Sherlock Holmes Consulting Detective: The Case of the Mummy’s Curse,10,269,999999,1002,0
4267,Castlevania: Lords of Shadow – Mirror of Fate HD,448,749,999999,35720,843
4268,NiGHTS into Dreams...,913,499,999999,240128,105
4269,Putt-Putt Goes to the Moon,409,349,999999,12675,39
4270,Nightmares from the Deep 2: The Siren`s Call,399,299,999999,30650,354
4271,Disney Infinity 2.0,209,4999,999999,5761,810
4272,Freddi Fish and Luther's Maze Madness,427,249,999999,14979,129
4273,LEGO� Pirates of the Caribbean The Video Game,255,1339,999999,9218,3326
4274,Sherlock Holmes: The Mystery of The Mummy,2142,499,999999,68213,137
4275,Tex Murphy: Mean Streets,371,149,999999,13597,102
4276,Pharaoh's Tomb,409,2999,999999,4609,1
4277,Sherlock Holmes Consulting Detective: The Case of the Tin Soldier,10,269,999999,922,0
4278,Secret Files: Sam Peters,608,499,999999,7605,229
4279,Fairy Tale Mysteries: The Puppet Thief Collector's Edition,372,475,999999,1697,346
4280,Millionaire Manor,399,99,999999,13827,428
4281,Cars Toon,255,1339,999999,1844,15
4282,Indiana Jones and the Last Crusade,2171,401,999999,84805,352
4283,Putt-Putt Travels Through Time,399,349,999999,14288,119
4284,Clockwork Tales: Of Glass and Ink,420,249,999999,25810,430
4285,Pickers,1212,339,999999,21432,614
4286,Nearwood - Collector's Edition,428,249,999999,11292,414
4287,Nancy Drew: Tomb of the Lost Queen,1128,999,999999,5300,747
4288,Tex Murphy: Under a Killing Moon,371,249,999999,17053,307
4289,Princess Isabella - Return of the Curse,429,99,999999,8527,150
4290,Doctor Who: The Eternity Clock,945,999,999999,17514,406
4291,Weird Park Trilogy,9,999,999999,1131,917
4292,Nancy Drew: The Deadly Device,968,999,999999,2765,1229
4293,Finding Nemo,114,669,999999,668,122
4294,The Labyrinth of Time,204,149,999999,4007,14
4295,Questerium: Sinister Trinity HD,154,384,999999,1002,631
4296,Tomb Raider III: Adventures of Lara Croft,932,139,999999,382085,236
4297,House of 1000 Doors: The Palm of Zoroaster Collector's Edition,345,249,999999,13597,639
4298,Afterfall: Reconquest Episode I,119,524,999999,18666,106
4299,Oddworld: Abe's Exoddus,2485,149,999999,306959,304
4300,Loom,2171,401,999999,93102,316
4301,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,399,349,999999,17053,335
4302,Lost Civilization,429,249,999999,19127,136
4303,Indiana Jones and the Fate of Atlantis,2171,401,999999,113151,638
4304,Putt-Putt Joins the Circus,385,349,999999,11522,29
4305,Princess Evangile,83,3149,999999,1670,2933
4306,Left in the Dark: No One on Board,259,249,999999,14979,230
4307,"Fairy Tale About Father Frost, Ivan and Nastya",414,99,999999,5070,43
4308,Tex Murphy: Overseer,371,249,999999,13136,1
4309,Blinding Dark,310,249,999999,13827,44
4310,Litil Divil,456,149,999999,210631,23
4311,Nancy Drew Alibi in Ashes,1324,349,999999,6222,715
4312,Season Match 2,251,79,999999,2074,1826
4313,Lost Chronicles of Zerzura,343,249,999999,9218,313
4314,Nicolas Eymerich The Inquisitor Book II : The Village,147,509,999999,6683,0
4315,Disney Epic Mickey 2,255,1339,999999,4148,654
4316,Cars 2,255,1339,999999,2765,253
4317,Sam & Max 301: The Penal Zone,1890,499,999999,345905,245
4318,Deponia: The Complete Journey,345,1359,999999,46781,1357
4319,ASA: A Space Adventure - Remastered Edition,106,1499,999999,1002,0
4320,LocoCycle,489,339,999999,17745,239
4321,Law & Order: Legacies,1235,499,999999,17284,519
4322,Robin's Quest,427,99,999999,6913,120
4323,Agarest: Generations of War 2,119,679,999999,22123,1509
4324,Evil Pumpkin: The Lost Halloween,342,249,999999,12675,302
4325,King's Quest Collection,2156,979,999999,34798,506
4326,Freddi Fish and The Case of the Missing Kelp Seeds,427,349,999999,21432,115
4327,Corto Maltese Secrets of Venice,196,499,999999,1002,515
4328,Journey Of The Light,27,249,999999,566,10
4329,StuntMANIA Reloaded,217,499,999999,11292,100
4330,Red Johnson's Chronicles - 1+2 - Steam Special Edition,286,374,999999,12905,6
4331,Sam & Max 304: Beyond the Alley of the Dolls,1890,499,999999,345905,326
4332,D.W.A.R.F.S.,455,89,999999,2535,7
4333,Freddi Fish and Luther's Water Worries,413,249,999999,10601,11
4334,4 Elements,1802,99,999999,32032,1416
4335,My Ex-Boyfriend the Space Tyrant,332,974,999999,1613,1253
4336,Night Mysteries: The Amphora Prisoner,112,499,999999,7144,113
4337,Midnight Mysteries 3: Devil on the Mississippi,1177,339,999999,22584,534
4338,Brink of Consciousness: Dorian Gray Syndrome,335,249,999999,14518,434
4339,Mirror Mysteries 2: Forgotten Kingdoms,434,99,999999,3457,113
4340,Math Rescue,409,2999,999999,4609,20
4341,Dracula: Love Kills,597,499,999999,23736,546
4342,Escape The Lost Kingdom: The Forgotten Pharaoh,415,99,999999,2765,137
4343,Sanitarium,232,499,999999,6453,521
4344,Nancy Drew: The Captive Curse,1424,349,999999,7144,1143
4345,Sharpe Investigations: Death on the Seine,338,299,999999,668,206
4346,Witch's Pranks: Frog's Fortune Collector's Edition,154,174,999999,7374,0
4347,Nancy Drew: Ghost Dogs of Moon Lake,2077,349,999999,9679,500
4348,Invisible Apartment Zero,43,599,999999,3687,0
4349,Angelica Weaver: Catch Me When You Can - Collector��s Edition,892,475,999999,17745,416
4350,Time Mysteries 3: The Final Enigma,280,999,999999,15440,256
4351,Yesterday,1183,339,999999,51621,405
4352,Putt-Putt and Pep's Dog on a Stick,413,249,999999,13366,5
4353,Pilot Brothers,182,199,999999,566,0
4354,Cosmic Osmo,999999,599,999999,47933,39
4355,Ultionus: A Tale of Petty Revenge,478,489,999999,26271,27
4356,Paganitzu,409,2999,999999,4609,24
4357,Pirate Hell,223,599,999999,566,0
4358,AR-K,332,299,999999,41020,145
4359,Time Mysteries: Inheritance - Remastered,112,399,999999,10140,244
4360,Dracula 3: The Path of the Dragon,427,199,999999,32954,110
4361,Return to Mysterious Island 2,469,199,999999,32032,429
4362,Demon Hunter: Chronicles from Beyond,196,499,999999,9448,306
4363,The 7th Guest,608,149,999999,62913,203
4364,Stroke of Fate: Operation Valkyrie,1329,299,999999,7605,336
4365,Voodoo Whisperer Curse of a Legend,436,99,999999,2672,436
4366,Pilot Brothers 3: Back Side of the Earth,147,199,999999,1002,0
4367,Spelunx,999999,599,999999,47933,10
4368,Fall of the New Age Premium Edition,328,174,999999,9448,154
4369,SPY Fox 3: Operation Ozone,399,349,999999,15901,225
4370,Apothecarium: The Renaissance of Evil - Premium Edition,21,559,999999,566,745
4371,Nicolas Eymerich The Inquisitor,414,199,999999,9448,458
4372,Cosmo's Cosmic Adventure,409,2999,999999,4609,8
4373,Tiny Barbarian DX,562,999,999999,31111,133
4374,Freddi Fish 3: The Case of the Stolen Conch Shell,399,349,999999,13827,133
4375,Space Ace,660,499,999999,5531,45
4376,Dark Arcana: The Carnival,233,249,999999,12444,325
4377,"House of 1,000 Doors - Family Secrets",437,249,999999,17053,413
4378,Tomb Raider: The Last Revelation,932,139,999999,378398,334
4379,ManaCollect,62,468,999999,1002,10
4380,Atlantis 2: Beyond Atlantis,62,249,999999,566,0
4381,The Abbey,338,299,999999,1336,0
4382,Empress Of The Deep,406,99,999999,9909,153
4383,Portal of Evil: Stolen Runes Collector's Edition,23,509,999999,7605,1714
4384,Chicken Little Ace in Action,114,1339,999999,566,0
4385,LEGO Batman 2,1091,499,999999,165232,1546
4386,Jack Orlando Director's Cut,622,499,999999,33646,104
4387,Unreal Tournament 2004,4110,374,98,310646,1544
4388,Unreal Tournament: Game of the Year Edition,2649,249,98,274235,630
4389,Portal,2808,249,98,8373148,510
4390,Counter-Strike,5342,749,98,11386273,18438
4391,Shadow Warrior Classic (1997),999999,0,98,293362,13
4392,Half-Life 2,3866,249,97,8876910,1156
4393,Duke Nukem 3D: Megaton Edition,820,249,97,510906,400
4394,Left 4 Dead 2,2040,399,97,12167957,3853
4395,Trine 2,742,299,97,2227063,551
4396,Mount & Blade: Warband,1905,679,97,1824468,9512
4397,The Binding of Isaac: Rebirth,226,1004,97,937238,6442
4398,SanctuaryRPG: Black Edition,125,399,97,32263,404
4399,Half-Life,6066,249,96,5283743,701
4400,Quake,2876,499,96,280226,248
4401,Half-Life 2: Episode Two,2808,199,96,4931617,746
4402,Counter-Strike: Source,3881,749,96,13752758,13859
4403,Ori and the Blind Forest,100,1599,96,193117,837
4404,Psychonauts,3172,339,96,1093252,647
4405,Tomb Raider,836,999,96,3075808,1522
4406,Saints Row: The Third,1312,749,96,3324002,2705
4407,Hitman: Blood Money,3017,449,96,1048084,856
4408,Killing Floor,2226,999,96,3134803,3814
4409,BioShock Infinite,815,1499,95,3388758,1504
4410,Deus Ex: Game of the Year Edition,3003,349,95,951065,659
4411,Left 4 Dead,2404,399,95,3566665,4220
4412,Half-Life 2: Episode One,3304,199,95,5528020,505
4413,Dead Space 2,1605,999,95,1058454,947
4414,Counter-Strike: Global Offensive,1031,749,95,13739392,18150
4415,Star Wars Jedi Knight: Jedi Academy,2101,999,95,1009829,729
4416,Call of Juarez Gunslinger,757,624,95,599399,751
4417,Star Wars Republic Commando,2171,999,95,799198,439
4418,Alien Swarm,1795,0,95,4243264,520
4419,Shadow Warrior Classic Redux,710,149,95,354201,207
4420,PAC-MAN Championship Edition DX+,632,249,95,138961,344
4421,Half-Life: Opposing Force,5708,124,95,4838746,515
4422,Transformers: Fall of Cybertron,1032,2449,95,160162,2407
4423,Tom Clancy's Splinter Cell: Chaos Theory,2121,599,94,243585,800
4424,Star Wars - Jedi Knight II: Jedi Outcast,2101,999,94,778688,458
4425,Return to Castle Wolfenstein,2876,249,94,281148,510
4426,F.E.A.R.,1854,999,94,1035179,526
4427,Vampire: The Masquerade - Bloodlines,3010,979,94,419187,1429
4428,LEGO MARVEL Super Heroes,604,999,94,628666,2905
4429,Mafia II,1760,749,94,1974721,2848
4430,Sonic Generations,1323,1499,94,521968,809
4431,PAYDAY: The Heist,1337,749,94,3849657,749
4432,Wolfenstein 3D,2876,249,94,245889,112
4433,METAL GEAR RISING: REVENGEANCE,525,1499,93,442232,1110
4434,Call of Duty: World at War,2403,979,93,813256,3429
4435,Metro 2033,1921,749,93,4575803,710
4436,Alien: Isolation,255,1249,93,437623,1057
4437,Red Faction,2143,199,93,468273,244
4438,Singularity,1814,1469,93,103472,733
4439,Rising Storm/Red Orchestra 2 Multiplayer,1374,999,93,2517659,2114
4440,"Warhammer 40,000 Space Marine",1382,1019,93,961896,1612
4441,Grand Theft Auto: Vice City,1620,299,92,1453214,615
4442,Call of Duty 4: Modern Warfare,2775,979,92,839297,2717
4443,Max Payne 2: The Fall of Max Payne,2722,999,92,474495,503
4444,DOOM II: Hell on Earth,2876,249,92,331156,132
4445,Day of Defeat: Source,1802,249,92,5881990,3023
4446,LUFTRAUSERS,457,249,92,287370,317
4447,Insurgency,512,374,92,1682511,1437
4448,Rock of Ages,1380,99,92,397986,230
4449,Zombie Army Trilogy,104,3374,92,36411,653
4450,Kung Fury: Street Rage,21,199,92,36872,57
4451,Aliens versus Predator Classic 2000,1980,169,92,148870,330
4452,Thief Gold,1122,174,91,689044,231
4453,Battlefield: Bad Company 2,1934,999,91,1428095,6421
4454,DOOM 3,2876,499,91,339452,521
4455,Call of Duty 2,3170,1499,91,216622,1210
4456,Call of Duty: Modern Warfare 2,2045,979,91,4510125,2357
4457,Call of Duty: Modern Warfare 2 - Multiplayer,2045,979,91,4510125,15757
4458,Unreal Tournament 3: Black Edition,2296,499,91,558148,947
4459,LEGO Lord of the Rings,933,999,91,414348,1110
4460,Day of Defeat,4431,124,91,7227814,1654
4461,Hitman: Absolution,941,999,91,2280757,1606
4462,The Darkness II,1228,599,91,852663,617
4463,Renegade Ops,1331,750,91,262482,333
4464,Transformers: War for Cybertron,1822,979,91,197034,848
4465,Ghostbusters: The Video Game,2193,399,91,185973,557
4466,Starbound,561,1349,91,1868253,4520
4467,Grand Theft Auto III,1624,299,90,1264015,343
4468,Max Payne,2722,299,90,453294,528
4469,BioShock 2,1955,679,90,2234668,745
4470,Dead Space,2351,999,90,2048695,620
4471,Star Wars - Battlefront II,2171,999,90,1706017,910
4472,Bully: Scholarship Edition,2431,299,90,593638,729
4473,Half-Life: Blue Shift,5130,124,90,4825149,241
4474,"10,000,000",884,499,90,95867,740
4475,Counter-Strike: Condition Zero Deleted Scenes,4126,749,90,8842803,304
4476,Counter-Strike: Condition Zero,4126,749,90,8842803,3342
4477,Geometry Wars 3: Dimensions,205,734,90,37333,503
4478,The Forest,384,1274,90,1319323,909
4479,Mechanic Escape,429,99,90,182746,126
4480,The Ultimate DOOM,2876,249,90,327238,205
4481,THE KING OF FIGHTERS XIII STEAM EDITION,643,999,90,326086,1615
4482,Half-Life 2: Deathmatch,3881,124,90,11405400,1122
4483,The Typing of The Dead: Overkill,597,999,90,230910,239
4484,Mortal Kombat Komplete Edition,715,999,90,868564,1257
4485,Thief: Deadly Shadows,3003,224,89,552157,345
4486,Tomb Raider: Anniversary,2935,449,89,562757,614
4487,Far Cry� 3 Blood Dragon,778,374,89,1102239,649
4488,Red Orchestra: Ostfront 41-45,3383,499,89,880547,1833
4489,Tom Clancy's Rainbow Six: Vegas 2,2619,599,89,359040,1048
4490,ShootMania Storm,799,1199,89,70748,4028
4491,Aliens vs. Predator,1948,749,89,919263,1350
4492,Binary Domain,1147,749,89,280687,500
4493,Slender: The Arrival,598,149,89,216853,600
4494,Beyond Gravity,268,99,89,27654,140
4495,Sonic Adventure™ 2,941,499,89,224688,850
4496,Star Wars: Dark Forces,2101,599,89,811412,133
4497,Battlefield 2,2081,0,88,357888,1930
4498,Hitman 2: Silent Assassin,3017,349,88,896679,352
4499,Crysis Warhead,2465,999,88,714624,427
4500,Crysis Wars,2465,999,88,714624,254
4501,Red Faction: Guerrilla Steam Edition,2102,399,88,872481,858
4502,Call of Duty: Black Ops,1682,1959,88,3244958,2417
4503,State of Decay,590,0,88,1026882,1721
4504,Metro: Last Light Redux,297,1374,88,382316,921
4505,Sniper Elite V2,1144,1499,88,3366865,803
4506,Sniper Elite: Nazi Zombie Army,840,509,88,439697,552
4507,METAL SLUG 3,489,199,88,461821,214
4508,Jet Set Radio,1002,249,88,167537,245
4509,DRAGON BALL XENOVERSE,112,3349,88,257412,3452
4510,F.E.A.R. 2: Project Origin,2317,749,87,1711317,1235
4511,Call of Juarez: Bound in Blood,2177,599,87,182746,652
4512,Remember Me,745,599,87,324473,719
4513,Phantom Breaker: Battle Grounds,146,599,87,44477,340
4514,BlazBlue: Calamity Trigger,490,339,87,132739,309
4515,Commandos 2: Men of Courage,3017,39,86,393377,429
4516,Chivalry: Medieval Warfare,975,249,86,2996533,1931
4517,Call of Duty: Black Ops II,948,2939,86,2409579,853
