,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
243,Kingdom Wars,808,0,70,306498,1118
244,Arma: Cold War Assault,1410,119,70,1165843,139
245,Survivor Squad,148,35,70,97250,235
246,Planetary Annihilation,286,749,69,739973,1128
247,Anno 2070,1309,1799,68,694344,3444
248,Sid Meier's Railroads!,2967,249,67,505606,932
249,Frontline Tactics,965,0,67,271700,515
250,Eador. Masters of the Broken World,790,399,66,166154,4449
251,Jagged Alliance - Back in Action,1226,749,66,240359,4555
252,Stronghold Crusader 2,269,1699,65,166615,1842
253,Dogs of War Online - Beta,499,0,65,136887,246
254,Sins of a Dark Age,41,0,65,256029,311
255,FortressCraft Evolved,555,224,65,53695,446
256,Folk Tale,749,1674,65,80196,453
257,TOME: Immortal Arena,209,0,65,390381,235
258,CaesarIA,149,0,65,177676,156
259,Blackguards,512,399,64,331617,1348
260,Battle Nations,273,0,64,344291,933
261,March of War,373,0,64,504454,1214
262,Hydrophobia: Prophecy,1501,499,63,290827,205
263,Deadbreed�,352,0,63,309494,229
264,Gems of War,210,0,62,119373,2535
265,Omerta - City of Gangsters,868,499,62,255799,1330
266,Krater,1101,749,61,200030,401
267,Caribbean!,118,1199,60,50699,1224
268,Cities in Motion 2,807,499,59,595942,1046
269,A Virus Named TOM,1051,399,57,385081,140
270,Heroes of Might & Magic III - HD Edition,141,899,55,188508,1840
271,Jagged Alliance Flashback,240,999,55,23506,943
272,Warmachine Tactics,210,0,55,66369,453
273,Dungeon Defenders Eternity,331,1999,54,124904,2144
274,Sid Meier's Civilization: Beyond Earth,238,1999,52,988397,3442
275,Operation Flashpoint: Red River,1473,249,52,455829,434
276,King��s Bounty: Legions,555,0,52,147257,3448
277,Divine Souls,307,0,51,365032,55
278,Might & Magic: Heroes VI,1344,1199,50,581654,4855
279,Navy Field 2 : Conqueror of the Ocean,105,0,48,378167,345
280,StarDrive,783,749,46,186434,1509
281,Sid Meier's Starships,98,1004,44,101398,842
282,Carrier Command: Gaea Mission,993,659,43,222153,1206
283,Castle Story,633,1699,43,170302,747
284,Spartans Vs Zombies Defense,163,0,42,89875,120
285,Magic 2015,337,669,41,249346,3125
286,Total War Battles: KINGDOM,70,0,40,256260,618
287,Takedown: Red Sabre,493,499,37,234828,240
288,Godus,643,799,36,272622,1906
289,Stronghold 3,1119,749,31,660007,1021
290,Towns,953,494,31,190812,2210
291,StarForge,269,499,25,309263,357
292,Command and Conquer 4: Tiberian Twilight,1920,999,24,248194,705
293,Spacebase DF-9,234,499,24,133200,733
294,Guardians of Middle-earth,658,999,22,600321,213
295,Out of the Park Baseball 16,87,2999,999999,6222,6025
296,Freedom Force,2211,374,999999,162928,308
297,World in Conflict,2387,599,999999,150253,440
298,Railroad Tycoon 2: Platinum,2967,249,999999,146566,2138
299,Sins of a Solar Empire�: Trinity,1310,999,999999,175833,1524
300,Company of Heroes: Opposing Fronts,2821,999,999999,1991313,1356
301,Kohan: Immortal Sovereigns,1394,999,999999,15671,258
302,Age of Wonders 2,1721,499,999999,61069,1924
303,Unity of Command,974,299,999999,66600,2110
304,Sid Meier's Civilization IV: Warlords,2995,124,999999,950834,908
305,Darwinia,3626,149,999999,555153,203
306,Silent Storm,624,499,999999,48394,807
307,Mr. Robot,2418,999,999999,33185,311
308,Galactic Civilizations� I: Ultimate Edition,1038,499,999999,104624,323
309,Hearts of Iron II: Complete,2337,299,999999,62452,3924
310,Frozen Synapse Prime,216,499,999999,54617,201
311,Vietnam ‘65,105,999,999999,2535,508
312,The Guild Gold Edition,282,199,999999,36411,503
313,Dangerous Waters,3418,299,999999,42633,844
314,Dawn of Discovery,2186,599,999999,39868,3928
315,Avadon 2: The Corruption,596,299,999999,51390,1427
316,Fallout Tactics,2129,499,999999,471499,908
317,Dominions 3,646,999,999999,11983,1027
318,Age of Wonders: Shadow Magic,1721,499,999999,96558,1942
319,Vessel,1204,524,999999,329082,240
320,Distant Worlds: Universe,391,3959,999999,30419,4622
321,Darkest Hour: A Hearts of Iron Game,1532,199,999999,98863,4424
322,Kohan II: Kings of War,1394,999,999999,19588,1156
323,Order of Battle : Pacific,49,3999,999999,3457,3616
324,Eets,3368,499,999999,224688,50
325,The Corporate Machine,85,499,999999,1383,318
